ID_plot_subplot.x	Zone	Treatment	Plot	Subplot	Depth	mean_ri	se_ri	elevation_raw	ID_plot_subplot.y	elevation	elevation_coeff
132A6	PZ	+3.0°C	132	A6	10-20 cm	0.280986862410202	0.0587576083855124	-0.47	132A6	-0.57	0.1
132A6	PZ	+3.0°C	132	A6	20-30 cm	0.563909888838076	0.0698537061175048	-0.47	132A6	-0.67	0.2
132A6	PZ	+3.0°C	132	A6	30-40 cm	0.786717443136732	0.0696057850308762	-0.47	132A6	-0.77	0.3
132A6	PZ	+3.0°C	132	A6	40-50 cm	0.852187795245267	0.0632949116344562	-0.47	132A6	-0.87	0.4
132A6	PZ	+3.0°C	132	A6	50-60 cm	0.843079699610379	0.0570870974516186	-0.47	132A6	-0.97	0.5
132A6	PZ	+3.0°C	132	A6	60-70 cm	0.85336950714296	0.0563154140852432	-0.47	132A6	-1.07	0.6
132A6	PZ	+3.0°C	132	A6	70-80 cm	0.876630430039931	0.0368151921716778	-0.47	132A6	-1.17	0.7
132G6	PZ	+3.0°C	132	G6	0-10 cm	0.200853411487292	0.0372919088879729	-0.45	132G6	-0.45	0
132G6	PZ	+3.0°C	132	G6	10-20 cm	0.463397249070224	0.0683743707403916	-0.45	132G6	-0.55	0.1
132G6	PZ	+3.0°C	132	G6	20-30 cm	0.605390667799783	0.0762491372962718	-0.45	132G6	-0.65	0.2
132G6	PZ	+3.0°C	132	G6	30-40 cm	0.603715090433301	0.0804982178052645	-0.45	132G6	-0.75	0.3
132G6	PZ	+3.0°C	132	G6	40-50 cm	0.562082294271461	0.0740679254225766	-0.45	132G6	-0.85	0.4
132G6	PZ	+3.0°C	132	G6	50-60 cm	0.610470665752812	0.0803087848304052	-0.45	132G6	-0.95	0.5
132G6	PZ	+3.0°C	132	G6	60-70 cm	0.540724259461674	0.085760427691657	-0.45	132G6	-1.05	0.6
132G6	PZ	+3.0°C	132	G6	70-80 cm	0.540877719091377	0.0647866918693161	-0.45	132G6	-1.15	0.7
240A6	LM	ambient	240	A6	0-10 cm	0.191357473033521	0.0460564641445753	-0.08	240A6	-0.08	0
240A6	LM	ambient	240	A6	10-20 cm	0.484627796957597	0.0880387183203758	-0.08	240A6	-0.18	0.1
240A6	LM	ambient	240	A6	20-30 cm	0.538156859384878	0.08862215742923	-0.08	240A6	-0.28	0.2
240A6	LM	ambient	240	A6	30-40 cm	0.598937643029336	0.0846451687287411	-0.08	240A6	-0.38	0.3
240A6	LM	ambient	240	A6	40-50 cm	0.563216965832055	0.0887279366096969	-0.08	240A6	-0.48	0.4
240A6	LM	ambient	240	A6	50-60 cm	0.512631364067717	0.0948940336238044	-0.08	240A6	-0.58	0.5
240A6	LM	ambient	240	A6	60-70 cm	0.450885340866503	0.0937979499911675	-0.08	240A6	-0.68	0.6
240A6	LM	ambient	240	A6	70-80 cm	0.398340871445364	0.0766244678623528	-0.08	240A6	-0.78	0.7
240G6	LM	ambient	240	G6	0-10 cm	0.137670248347677	0.0222726758163968	0	240G6	0	0
240G6	LM	ambient	240	G6	10-20 cm	0.487079258912547	0.0672316882749294	0	240G6	-0.1	0.1
240G6	LM	ambient	240	G6	20-30 cm	0.61349951116312	0.0667615274626647	0	240G6	-0.2	0.2
240G6	LM	ambient	240	G6	30-40 cm	0.658420565432098	0.0648627511085113	0	240G6	-0.3	0.3
240G6	LM	ambient	240	G6	40-50 cm	0.679025678333676	0.0687484961025565	0	240G6	-0.4	0.4
240G6	LM	ambient	240	G6	50-60 cm	0.571048220477943	0.0769739062553539	0	240G6	-0.5	0.5
240G6	LM	ambient	240	G6	60-70 cm	0.605056984709043	0.0759111378384434	0	240G6	-0.6	0.6
240G6	LM	ambient	240	G6	70-80 cm	0.471115090320254	0.0604279013817485	0	240G6	-0.7	0.7
241A6	LM	+1.5°C	241	A6	0-10 cm	0.1656122190454	0.0456994015307536	-0.04	241A6	-0.04	0
241A6	LM	+1.5°C	241	A6	10-20 cm	0.361025278723779	0.0735604797445825	-0.04	241A6	-0.14	0.1
241A6	LM	+1.5°C	241	A6	20-30 cm	0.565682471330876	0.0766320059397839	-0.04	241A6	-0.24	0.2
241A6	LM	+1.5°C	241	A6	30-40 cm	0.603740798256144	0.0787022298333591	-0.04	241A6	-0.34	0.3
241A6	LM	+1.5°C	241	A6	40-50 cm	0.642685217651713	0.0783828650255476	-0.04	241A6	-0.44	0.4
241A6	LM	+1.5°C	241	A6	50-60 cm	0.71736973933371	0.072728933589752	-0.04	241A6	-0.54	0.5
241A6	LM	+1.5°C	241	A6	60-70 cm	0.636278061483495	0.0866775163787755	-0.04	241A6	-0.64	0.6
241A6	LM	+1.5°C	241	A6	70-80 cm	0.549895841056641	0.0805930828270574	-0.04	241A6	-0.74	0.7
241G6	LM	+1.5°C	241	G6	0-10 cm	0.112721823144235	0.0372976632769489	-0.1	241G6	-0.1	0
241G6	LM	+1.5°C	241	G6	10-20 cm	0.39951316453493	0.0771698451302241	-0.1	241G6	-0.2	0.1
241G6	LM	+1.5°C	241	G6	20-30 cm	0.619514365224198	0.083734366316358	-0.1	241G6	-0.3	0.2
241G6	LM	+1.5°C	241	G6	30-40 cm	0.698216075832035	0.0741642510721403	-0.1	241G6	-0.4	0.3
241G6	LM	+1.5°C	241	G6	40-50 cm	0.641176632672655	0.0737563391017462	-0.1	241G6	-0.5	0.4
241G6	LM	+1.5°C	241	G6	50-60 cm	0.622596912286662	0.0807648931486627	-0.1	241G6	-0.6	0.5
241G6	LM	+1.5°C	241	G6	60-70 cm	0.597059099346606	0.0841530917931936	-0.1	241G6	-0.7	0.6
241G6	LM	+1.5°C	241	G6	70-80 cm	0.585863643832978	0.0687809785871454	-0.1	241G6	-0.8	0.7
242A6	LM	+3.0°C	242	A6	0-10 cm	0.0831726385698486	0.0308078412601487	-0.15	242A6	-0.15	0
242A6	LM	+3.0°C	242	A6	10-20 cm	0.316862365184368	0.0652849789197321	-0.15	242A6	-0.25	0.1
242A6	LM	+3.0°C	242	A6	20-30 cm	0.551789660490901	0.0887535993563702	-0.15	242A6	-0.35	0.2
242A6	LM	+3.0°C	242	A6	30-40 cm	0.604667847742069	0.0775384281457261	-0.15	242A6	-0.45	0.3
242A6	LM	+3.0°C	242	A6	40-50 cm	0.5497282501507	0.0841510518941564	-0.15	242A6	-0.55	0.4
242A6	LM	+3.0°C	242	A6	50-60 cm	0.522061633640811	0.0857785064708274	-0.15	242A6	-0.65	0.5
242A6	LM	+3.0°C	242	A6	60-70 cm	0.582663698883705	0.0856966500710398	-0.15	242A6	-0.75	0.6
242A6	LM	+3.0°C	242	A6	70-80 cm	0.527635042532028	0.0928050396767635	-0.15	242A6	-0.85	0.7
242G6	LM	+3.0°C	242	G6	0-10 cm	0.140573815128212	0.0328831836206311	-0.05	242G6	-0.05	0
242G6	LM	+3.0°C	242	G6	10-20 cm	0.473007949793585	0.0738421189342657	-0.05	242G6	-0.15	0.1
242G6	LM	+3.0°C	242	G6	20-30 cm	0.651050156696334	0.0697240845083856	-0.05	242G6	-0.25	0.2
242G6	LM	+3.0°C	242	G6	30-40 cm	0.744570239387694	0.0716080435437483	-0.05	242G6	-0.35	0.3
242G6	LM	+3.0°C	242	G6	40-50 cm	0.68802367096264	0.0824911942424527	-0.05	242G6	-0.45	0.4
242G6	LM	+3.0°C	242	G6	50-60 cm	0.647785778274419	0.0822751271689333	-0.05	242G6	-0.55	0.5
242G6	LM	+3.0°C	242	G6	60-70 cm	0.693537119564882	0.0787043563819856	-0.05	242G6	-0.65	0.6
242G6	LM	+3.0°C	242	G6	70-80 cm	0.596437793268785	0.0726603236303467	-0.05	242G6	-0.75	0.7
250A6	LM	ambient	250	A6	0-10 cm	0.308094702397268	0.049394084551324	-0.07	250A6	-0.07	0
250A6	LM	ambient	250	A6	10-20 cm	0.547773273655915	0.0881085068304166	-0.07	250A6	-0.17	0.1
250A6	LM	ambient	250	A6	20-30 cm	0.631439993966701	0.0800530622739235	-0.07	250A6	-0.27	0.2
250A6	LM	ambient	250	A6	30-40 cm	0.716602056973959	0.0760139758862095	-0.07	250A6	-0.37	0.3
250A6	LM	ambient	250	A6	40-50 cm	0.699290481043393	0.0785536314618354	-0.07	250A6	-0.47	0.4
250A6	LM	ambient	250	A6	50-60 cm	0.687365934131587	0.0725468878356975	-0.07	250A6	-0.57	0.5
250A6	LM	ambient	250	A6	60-70 cm	0.531845341566039	0.0927823947360579	-0.07	250A6	-0.67	0.6
250A6	LM	ambient	250	A6	70-80 cm	0.463217704756712	0.0827227191722508	-0.07	250A6	-0.77	0.7
250G6	LM	ambient	250	G6	0-10 cm	0.100181730049998	0.0210372811441322	-0.05	250G6	-0.05	0
250G6	LM	ambient	250	G6	10-20 cm	0.509954668949703	0.0736480982196446	-0.05	250G6	-0.15	0.1
250G6	LM	ambient	250	G6	20-30 cm	0.5703511332201	0.0685490036901315	-0.05	250G6	-0.25	0.2
250G6	LM	ambient	250	G6	30-40 cm	0.637689269366931	0.0771495212737648	-0.05	250G6	-0.35	0.3
250G6	LM	ambient	250	G6	40-50 cm	0.658211322912174	0.0704879855255961	-0.05	250G6	-0.45	0.4
250G6	LM	ambient	250	G6	50-60 cm	0.58687396731414	0.0685069260378248	-0.05	250G6	-0.55	0.5
250G6	LM	ambient	250	G6	60-70 cm	0.543322590553307	0.0631243782638443	-0.05	250G6	-0.65	0.6
250G6	LM	ambient	250	G6	70-80 cm	0.531341547928918	0.068894624928211	-0.05	250G6	-0.75	0.7
251A6	LM	+1.5°C	251	A6	0-10 cm	0.418915847837864	0.0650753992425278	-0.29	251A6	-0.29	0
251A6	LM	+1.5°C	251	A6	10-20 cm	0.581275403481405	0.0703556477177608	-0.29	251A6	-0.39	0.1
251A6	LM	+1.5°C	251	A6	20-30 cm	0.60875457637778	0.0778947838158209	-0.29	251A6	-0.49	0.2
